ACCT_ID,SUBSTATION,SUPPLY_TYPE,MR_SOURCE_CD,PAY_AMT,PAY_DATE,CURRENT_ASSESSMENT
8737182000,SHIPRI_20053,10,SC,872,10-JUL-2025,-885.22
2578533977,SHIPRI_20053,10,SM,1772,15-JUL-2025,2074.12
3729342295,SHIPRI_20053,10,MOBMRI,1723,12-JUL-2025,1982.3
7615082000,MUNNA LAL POWER HOUSE_20049,10,SM,986,02-JUL-2025,1179.83
7784082000,UNNAV GATE_20056,10,MOBILEBILL,2101,28-JUL-2025,1183.4
2593672000,MUNNA LAL POWER HOUSE_20049,10,SM,4300,11-JUL-2025,4725.35
8346472000,SHIPRI_20053,10,SM,2498,22-JUL-2025,1305.56
4043772000,SUTI MILL_20055,10,SM,2427,15-JUL-2025,2800.25
6431212236,SUTI MILL_20055,10,MOBILEBILL,4297,17-JUL-2025,4744.82
0635672000,RANI MAHAL_20050,10,SM,1987,07-JUL-2025,2335.2
5042572000,RANI MAHAL_20050,10,MOBILEBILL,418,11-JUL-2025,562.97
7794672000,UNNAV GATE_20056,10,SM,1300,31-JUL-2025,1503.15
9099572000,UNNAV GATE_20056,10,MOBMRI,2074,10-JUL-2025,2385.4
6667872000,JAIL CHOWRAHA_20051,10,OCR_CORAL,1000,14-JUL-2025,1212.91
7292334816,PULIYA NO. 9_20052,10,SM,1148,16-JUL-2025,1380.52
4449491091,MUNNA LAL POWER HOUSE_20049,10,MOBILEBILL,513,31-JUL-2025,591.56
5182672000,JAIL CHOWRAHA_20051,10,MRI,11026,16-JUL-2025,11791.59
8469082000,SHIPRI_20053,10,OCR_CORAL,1912,22-JUL-2025,2190.58
4364741811,HYDEL COLONY_20202,10,OCR_CORAL,4198,19-JUL-2025,4629.16
9319172000,SHIPRI_20053,10,SM,2551,30-JUL-2025,2905.39
2068282000,SHIPRI_20053,10,SM,3869,05-JUL-2025,2228.72
5823172000,SHIPRI_20053,10,OCR_CORAL,3000,15-JUL-2025,2050.57
0709472000,MUNNA LAL POWER HOUSE_20049,10,SM,1710,07-JUL-2025,2009.41
5294672000,UNNAV GATE_20056,10,MOBILEBILL,1396,19-JUL-2025,541.51
0568282000,SHIPRI_20053,10,MOBMRI,450,14-JUL-2025,487.33
5670872000,JAIL CHOWRAHA_20051,10,OCR_CORAL,5504,26-JUL-2025,3114.11
3692742274,PULIYA NO. 9_20052,10,SM,2234,23-JUL-2025,2576.23
3803732257,RANI MAHAL_20050,10,SM,3552,12-JUL-2025,3942.89
6686182000,SUTI MILL_20055,10,MOBILEBILL,1405,31-JUL-2025,726.71
3088707733,HYDEL COLONY_20202,20,MRI,2915,16-JUL-2025,2919.72
5840672000,RANI MAHAL_20050,20,MRI,7386,10-JUL-2025,7381.04
8348182000,JAIL CHOWRAHA_20051,10,MOBILEBILL,170,22-JUL-2025,168.86
7974282000,UNNAV GATE_20056,10,,50,11-JUL-2025,0
4583082000,RANI MAHAL_20050,10,OCR_CORAL,1007,29-JUL-2025,1173.05
8792772000,MUNNA LAL POWER HOUSE_20049,10,MOBMRI,2295,06-JUL-2025,2643.53
2406586708,SUTI MILL_20055,10,MOBMRI,1370,18-JUL-2025,1605.33
6638472000,UNNAV GATE_20056,10,SM,2945,14-JUL-2025,3423.21
4272668520,UNNAV GATE_20056,10,MOBMRI,834,18-JUL-2025,975.12
2191922118,SUTI MILL_20055,10,MOBMRI,430,31-JUL-2025,475.29
9686872000,RANI MAHAL_20050,20,OCR_CORAL,1320,14-JUL-2025,1307.11
6523007188,PULIYA NO. 9_20052,10,SM,133,10-JUL-2025,132.25
0492972000,SHIPRI_20053,10,SM,2800,04-JUL-2025,3163.47
5649372000,HYDEL COLONY_20202,10,SM,1376,09-JUL-2025,1638.9
7241182000,JAIL CHOWRAHA_20051,20,MOBILEBILL,4889,16-JUL-2025,4852.5
9036044164,UNNAV GATE_20056,10,MOBILEBILL,840,24-JUL-2025,990.13
8329472000,MUNNA LAL POWER HOUSE_20049,10,SM,12772,18-JUL-2025,5440.7
2035191812,MUNNA LAL POWER HOUSE_20049,10,SM,989,14-JUL-2025,1357.72
2025927775,SHIPRI_20053,10,MOBMRI,1648,12-JUL-2025,1942.84
1399282000,SUTI MILL_20055,10,SM,2233,21-JUL-2025,2641.2
6629672000,JAIL CHOWRAHA_20051,10,OCR_CORAL,3170,09-JUL-2025,3401.15
5693372000,MUNNA LAL POWER HOUSE_20049,10,SM,2800,11-JUL-2025,3111.36
5883382000,MUNNA LAL POWER HOUSE_20049,20,SM,5090,21-JUL-2025,5116.47
0009872000,MUNNA LAL POWER HOUSE_20049,10,MOBMRI,256,14-JUL-2025,285.45
7982672000,JAIL CHOWRAHA_20051,10,MOBMRI,4920,16-JUL-2025,3231.61
0727672000,MUNNA LAL POWER HOUSE_20049,20,MOBILEBILL,2371,22-JUL-2025,2339.26
6631877227,MUNNA LAL POWER HOUSE_20049,10,SM,4600,23-JUL-2025,5051.5
1799282000,SUTI MILL_20055,10,MOBMRI,182,21-JUL-2025,336.77
6377372000,SHIPRI_20053,10,SM,8711,08-JUL-2025,9338.3
1144572000,RANI MAHAL_20050,10,OCR_CORAL,6213,14-JUL-2025,6753.26
1149173860,MUNNA LAL POWER HOUSE_20049,10,SM,2000,16-JUL-2025,1877.31
3325672000,RANI MAHAL_20050,20,SM,3739,17-JUL-2025,3704.34
5085555006,UNNAV GATE_20056,10,SM,7530,11-JUL-2025,8428.01
8164018592,MUNNA LAL POWER HOUSE_20049,10,MOBMRI,1252,20-JUL-2025,1486.66
9212672000,RANI MAHAL_20050,10,MOBMRI,720,16-JUL-2025,933.76
2458372000,SHIPRI_20053,10,MOBILEBILL,1677,30-JUL-2025,1925.38
4231972000,SHIPRI_20053,10,MOBILEBILL,1673,13-JUL-2025,1941.24
9098282000,SUTI MILL_20055,10,MOBMRI,993,10-JUL-2025,1187.2
3583381379,UNNAV GATE_20056,10,MOBMRI,360,30-JUL-2025,406.71
8483672000,MUNNA LAL POWER HOUSE_20049,10,MOBILEBILL,499,08-JUL-2025,578.4
1392382000,MUNNA LAL POWER HOUSE_20049,10,MOBILEBILL,3873,21-JUL-2025,4201.42
3887321270,SHIPRI_20053,10,MOBMRI,5061,26-JUL-2025,5498.26
1277182000,MUNNA LAL POWER HOUSE_20049,10,MOBMRI,3349,11-JUL-2025,3740.96
1559174599,SUTI MILL_20055,10,SM,308,04-JUL-2025,348.06
7560563119,SUTI MILL_20055,20,MRI,45504,19-JUL-2025,11782.81
7128289116,JAIL CHOWRAHA_20051,10,MOBMRI,5270,25-JUL-2025,2326.97
9181972000,MUNNA LAL POWER HOUSE_20049,10,MOBILEBILL,20537,11-JUL-2025,6406.43
1541182000,MUNNA LAL POWER HOUSE_20049,10,SM,3000,19-JUL-2025,3265.18
