ACCT_ID,SUBSTATION,SUPPLY_TYPE,MR_SOURCE_CD,PAY_AMT,PAY_DAY
0952672000,NAGRA_20060,10,MOBILEBILL,2770.0,14
0818672000,NAGRA_20060,10,OCR_CORAL,2345.0,12
7976578786,BIJAULI_20057,10,SM,541.0,9
5222080841,HASARI_20059,10,SM,872.0,18
4819282000,NANDANPUTRA_20061,10,SM,1690.0,10
0817082000,GALLA MANDI_20048,10,,1155.0,15
2673340719,MEDICAL_20054,10,MOBMRI,602.0,18
3287991189,NANDANPUTRA_20061,10,MOBMRI,2413.0,8
6185632042,NANDANPUTRA_20061,10,MOBMRI,2800.0,14
8773289752,MEDICAL_20054,10,MOBMRI,2762.0,11
6595372000,NANDANPUTRA_20061,10,SM,6149.0,18
9961223866,NEW GALLA MANDI_20201,10,MOBILEBILL,2555.0,18
6188792876,MEDICAL_20054,10,MRI,584.0,24
2205282000,NANDANPUTRA_20061,10,SM,2953.0,3
4056769201,NAGRA_20060,10,MOBMRI,670.0,28
3071872000,NEW GALLA MANDI_20201,10,MOBILEBILL,412.0,22
7279282000,NANDANPUTRA_20061,10,SM,1684.0,7
8388272000,NAGRA_20060,10,MOBILEBILL,1144.0,8
0673772000,NANDANPUTRA_20061,10,MOBMRI,2447.0,16
2933115724,NEW GALLA MANDI_20201,10,MOBMRI,576.0,14
5140131630,BIJAULI_20057,10,MOBMRI,1922.0,19
0563382000,NEW GALLA MANDI_20201,10,OCR_CORAL,1860.0,16
0002436046,BIJAULI_20057,10,SM,759.0,12
9352082000,NANDANPUTRA_20061,10,MOBILEBILL,1618.0,29
8472441603,HASARI_20059,10,MOBMRI,1530.0,14
9955024200,BIJAULI_20057,10,SC,1844.0,3
3142009580,NEW GALLA MANDI_20201,10,OCR_CORAL,1000.0,23
6522182000,NANDANPUTRA_20061,10,SM,893.0,17
8464172000,NANDANPUTRA_20061,10,SM,2000.0,21
0096472000,NAGRA_20060,10,MOBILEBILL,1607.0,14
5003472000,NAGRA_20060,10,MOBILEBILL,1589.0,19
0561872000,NEW GALLA MANDI_20201,10,MOBMRI,835.0,15
7910797349,BIJAULI_20057,10,MRI,4738.0,15
0028672000,NAGRA_20060,10,MOBILEBILL,4776.0,29
7336272000,HASARI_20059,10,OCR_CORAL,980.0,7
6594255009,BIJAULI_20057,10,MRI,2741.0,8
1474435454,MEDICAL_20054,10,MOBMRI,3478.0,25
5389486607,NEW GALLA MANDI_20201,10,MOBILEBILL,2623.0,13
0186655358,MEDICAL_20054,20,OCR_CORAL,2352.0,16
2200595524,MEDICAL_20054,10,MOBMRI,2074.0,7
0422272000,NAGRA_20060,10,MOBILEBILL,4882.0,5
7014464864,NANDANPUTRA_20061,93,MOBMRI,1399.0,9
5287672000,NANDANPUTRA_20061,10,OCR_CORAL,5725.0,20
2285572000,GALLA MANDI_20048,10,MOBILEBILL,2158.0,4
2717640382,BIJAULI_20057,10,SM,2300.0,13
9771282000,NAGRA_20060,10,MOBMRI,1183.0,14
1414093270,HASARI_20059,10,SM,6015.0,18
2668282000,NANDANPUTRA_20061,10,MOBILEBILL,1777.0,26
1861550825,MEDICAL_20054,10,OCR_CORAL,1523.0,20
1156772000,NANDANPUTRA_20061,46,OCR_CORAL,2057.0,2
4950572000,GALLA MANDI_20048,10,SM,374.0,19
3952373859,MEDICAL_20054,101,,540.0,2
4897372000,MEDICAL_20054,10,OCR_CORAL,858.0,8
8194432813,NAGRA_20060,10,SM,2184.0,5
1596896145,NANDANPUTRA_20061,10,SM,5903.0,4
0293372000,NEW GALLA MANDI_20201,10,MOBILEBILL,1310.0,7
8547236910,GALLA MANDI_20048,20,SM,10467.0,11
7012856530,GALLA MANDI_20048,10,MOBILEBILL,97.0,13
8591300540,MEDICAL_20054,10,MOBILEBILL,270.0,15
9906372000,NEW GALLA MANDI_20201,10,MOBILEBILL,2173.0,21
0153081905,NEW GALLA MANDI_20201,10,MOBILEBILL,2000.0,21
6856272000,GALLA MANDI_20048,10,MOBILEBILL,747.0,9
8199272000,MEDICAL_20054,10,MOBILEBILL,1100.0,18
8947182000,NAGRA_20060,10,SM,1659.0,5
0813199179,NEW GALLA MANDI_20201,10,MOBILEBILL,2278.0,16
8070297027,NANDANPUTRA_20061,10,MOBMRI,3075.0,21
5752672000,NAGRA_20060,10,MOBMRI,1749.0,5
3899983000,MEDICAL_20054,52,MOBILEBILL,424.0,29
5426523510,HASARI_20059,10,MOBMRI,1911.0,26
9385358656,NAGRA_20060,20,MOBMRI,568.0,10
9947772000,BIJAULI_20057,10,SM,597.0,8
0377083092,NEW GALLA MANDI_20201,10,MOBILEBILL,931.0,23
6659372000,GALLA MANDI_20048,10,MOBILEBILL,823.0,16
0262800270,NAGRA_20060,10,MOBMRI,5509.0,24
6895672000,NANDANPUTRA_20061,10,MOBILEBILL,6191.0,17
6614754683,NAGRA_20060,10,MOBMRI,1514.0,29
4448940607,NEW GALLA MANDI_20201,10,,1706.0,24
5667090662,NAGRA_20060,10,MOBILEBILL,2255.0,18
2264353542,GALLA MANDI_20048,10,MOBMRI,2700.0,23
0336672000,NAGRA_20060,10,MOBILEBILL,2761.0,18
6359072000,NANDANPUTRA_20061,10,MOBMRI,1424.0,15
5689272000,MEDICAL_20054,10,MOBMRI,1723.0,20
1644382000,NEW GALLA MANDI_20201,10,OCR_CORAL,545.0,16
6051172000,NEW GALLA MANDI_20201,10,MOBILEBILL,4280.0,25
3667719208,NAGRA_20060,10,MOBMRI,372.0,14
8625172655,HASARI_20059,10,MOBMRI,250.0,15
1338672678,MEDICAL_20054,10,MOBMRI,519.0,14
2791023492,GALLA MANDI_20048,20,MOBMRI,150.0,17
5009889242,NANDANPUTRA_20061,10,MOBMRI,3060.0,10
7678545475,GROWTH CENTER_20058,10,MOBILEBILL,241.0,15
8953672000,GALLA MANDI_20048,10,SM,4994.0,3
5963382000,NAGRA_20060,10,SM,2641.0,13
3895282000,NANDANPUTRA_20061,10,MOBMRI,1444.0,14
9954613395,NANDANPUTRA_20061,10,MOBILEBILL,1785.0,14
5107172000,NAGRA_20060,10,MOBMRI,4506.0,9
0902628841,GALLA MANDI_20048,20,MOBMRI,1524.0,20
3414055479,HASARI_20059,10,MOBMRI,1549.0,10
8409936595,NAGRA_20060,10,MOBILEBILL,1030.0,24
1968102163,GALLA MANDI_20048,10,SM,2395.0,14
9239772000,HASARI_20059,10,MOBILEBILL,2106.0,20
0467646237,GROWTH CENTER_20058,20,OCR_CORAL,895.0,12
6564172000,NANDANPUTRA_20061,10,OCR_CORAL,3806.0,13
9082372000,NANDANPUTRA_20061,10,SM,2082.0,15
4735163629,NAGRA_20060,10,MOBMRI,1482.0,11
6041116261,GALLA MANDI_20048,10,SM,821.0,14
7052429872,HASARI_20059,10,MOBMRI,1910.0,11
7113361298,MEDICAL_20054,10,OCR_CORAL,864.0,12
5148253148,GALLA MANDI_20048,10,MOBMRI,187.0,1
6951272000,HASARI_20059,10,SM,7129.0,3
5055482592,NEW GALLA MANDI_20201,10,MOBILEBILL,1367.0,21
4602480889,NAGRA_20060,10,MOBILEBILL,1623.0,7
6982995458,MEDICAL_20054,10,MOBILEBILL,1504.0,9
4182872000,GALLA MANDI_20048,10,MOBMRI,4100.0,21
7492472000,NAGRA_20060,10,MOBILEBILL,1230.0,8
6947985271,HASARI_20059,10,SM,534.0,25
5203082000,NAGRA_20060,20,MOBILEBILL,642.0,15
9882382000,NAGRA_20060,10,MOBMRI,1642.0,14
3560065248,NAGRA_20060,10,MOBMRI,2740.0,21
7978499418,NAGRA_20060,10,SM,2436.0,22
3709082000,NAGRA_20060,10,MOBMRI,2889.0,8
6510070073,NAGRA_20060,10,SC,865.0,21
2350816533,BIJAULI_20057,10,MOBMRI,194.0,16
8190154053,MEDICAL_20054,93,MRB,2604.0,12
7453972000,NANDANPUTRA_20061,10,MOBILEBILL,1440.0,25
0233672000,GALLA MANDI_20048,10,MOBILEBILL,1169.0,15
1239272000,MEDICAL_20054,10,MOBILEBILL,3379.0,11
0899883451,MEDICAL_20054,10,OCR_CORAL,2336.0,30
7294278098,NANDANPUTRA_20061,10,OCR_CORAL,4621.0,24
2626547980,NAGRA_20060,10,SM,3305.0,8
7816226325,GALLA MANDI_20048,10,MRB,2209.0,16
9766133068,NANDANPUTRA_20061,10,MOBMRI,3143.0,16
5934272000,NEW GALLA MANDI_20201,10,MOBILEBILL,7750.0,7
7797282000,NANDANPUTRA_20061,10,,500.0,7
8913897289,NANDANPUTRA_20061,10,MOBMRI,2379.0,6
9117282000,GALLA MANDI_20048,10,SM,3734.0,5
5564001873,NANDANPUTRA_20061,10,SM,2746.0,23
8226272000,MEDICAL_20054,10,MOBMRI,3023.0,11
5821772000,NANDANPUTRA_20061,10,SM,3162.0,19
6681972000,NANDANPUTRA_20061,10,SM,1982.0,12
8761872000,MEDICAL_20054,10,MOBILEBILL,3557.0,18
7435526316,NANDANPUTRA_20061,10,MOBMRI,1014.0,21
8168182000,MEDICAL_20054,20,MOBILEBILL,2175.0,8
5383014854,NANDANPUTRA_20061,20,MOBILEBILL,6211.0,8
7342872000,BIJAULI_20057,10,MOBMRI,4138.0,20
2743202869,HASARI_20059,10,MOBILEBILL,1892.0,20
8064908375,MEDICAL_20054,10,,394.0,24
2534373076,GROWTH CENTER_20058,60,MRI,1000.0,21
5152772000,NANDANPUTRA_20061,10,MOBILEBILL,2126.0,17
6218172000,NAGRA_20060,10,MOBILEBILL,2028.0,12
0836131413,NANDANPUTRA_20061,10,,399.0,16
2713972000,NEW GALLA MANDI_20201,10,OCR_CORAL,1801.0,14
7457828822,MEDICAL_20054,10,OCR_CORAL,6642.0,14
7873516768,GALLA MANDI_20048,10,MOBMRI,200.0,8
5248385374,NEW GALLA MANDI_20201,20,MRI,6648.0,30
0960282000,BIJAULI_20057,10,MOBMRI,1660.0,11
1213672000,MEDICAL_20054,10,MOBILEBILL,5482.0,11
4537462066,BIJAULI_20057,10,MOBMRI,1433.0,24
4265282000,NANDANPUTRA_20061,10,SM,1526.0,5
0371382000,MEDICAL_20054,10,MOBMRI,808.0,19
8181426798,HASARI_20059,10,MOBMRI,2596.0,26
7427447025,NANDANPUTRA_20061,10,MOBILEBILL,11156.0,26
0224672000,NANDANPUTRA_20061,10,SM,3828.0,16
0966453454,NAGRA_20060,10,MOBILEBILL,309.0,4
3474928507,NANDANPUTRA_20061,10,MOBILEBILL,2118.0,20
3443558672,HASARI_20059,20,MRI,9136.0,14
8466182000,GALLA MANDI_20048,10,SM,704.0,2
8335992673,HASARI_20059,10,MOBMRI,200.0,19
1882572000,NAGRA_20060,10,MOBILEBILL,1517.0,23
0371587089,NEW GALLA MANDI_20201,10,MOBMRI,3500.0,28
2902521400,NAGRA_20060,10,MOBILEBILL,3515.0,27
8708517206,NANDANPUTRA_20061,10,MOBMRI,1883.0,14
5019182000,HASARI_20059,20,OCR_CORAL,635.0,13
5039772000,NAGRA_20060,10,MOBILEBILL,1261.0,4
0709780327,HASARI_20059,10,MOBMRI,61.0,13
8600772000,NANDANPUTRA_20061,10,MOBILEBILL,5900.0,2
5863254809,NANDANPUTRA_20061,10,MOBMRI,1745.0,11
1389982089,NAGRA_20060,10,MOBMRI,1920.0,10
